time,value
2024-09-27T12:00:32.760095516Z,0
2024-09-27T12:00:42.775737547Z,0
2024-09-27T12:00:52.759511649Z,0
2024-09-27T12:01:04.043530752Z,0
2024-09-27T12:01:15.320436347Z,23.875
2024-09-27T12:01:26.590905478Z,23.625
2024-09-27T12:01:37.850349124Z,23.5
2024-09-27T12:01:49.139922967Z,23.375
2024-09-27T12:02:00.409909871Z,23.5625
2024-09-27T12:02:11.680428684Z,27.1875
2024-09-27T12:02:22.950576357Z,28.625
2024-09-27T12:02:35.367841984Z,29.3125
2024-09-27T12:02:45.502066321Z,28.8125
2024-09-27T12:02:56.773237667Z,27.6875
2024-09-27T12:03:07.919563103Z,27.0625
2024-09-27T12:03:20.895325019Z,26.6875
2024-09-27T12:03:30.633170601Z,26.3125
2024-09-27T12:03:40.50220421Z,26.125
2024-09-27T12:03:51.135491861Z,25.6875
2024-09-27T12:04:02.877020004Z,25.4375
2024-09-27T12:04:11.222718149Z,25.125
2024-09-27T12:04:21.11294021Z,24.9375
2024-09-27T12:04:32.893100778Z,24.6875
2024-09-27T12:04:43.3671077Z,24.4375
2024-09-27T12:04:53.59618353Z,24.25
2024-09-27T12:05:04.877801989Z,24
2024-09-27T12:05:16.14777707Z,23.8125
2024-09-27T12:05:27.412540794Z,23.625
2024-09-27T12:05:38.692478058Z,23.5
2024-09-27T12:05:49.951087459Z,23.3125
2024-09-27T12:06:01.223772799Z,23.1875
2024-09-27T12:06:35.494172105Z,22.6875
2024-09-27T12:06:45.676235617Z,22.5625
2024-09-27T12:06:56.94649704Z,22.4375
2024-09-27T12:07:08.606311273Z,22.375
2024-09-27T12:07:19.504679251Z,22.3125
2024-09-27T12:07:36.636436351Z,22.25
2024-09-27T12:07:42.020728682Z,22.125
2024-09-27T12:07:53.3477531Z,22.0625
2024-09-27T12:08:04.58902579Z,21.9375
2024-09-27T12:08:15.838836864Z,21.9375
2024-09-27T12:08:27.086326574Z,21.875
2024-09-27T12:08:40.142692356Z,21.8125
2024-09-27T12:09:03.132495674Z,0
2024-09-27T12:09:13.158891157Z,0
2024-09-27T12:09:23.168189182Z,0
2024-09-27T12:09:33.129771701Z,21.5625
2024-09-27T12:09:46.756414781Z,21.5625
2024-09-27T12:09:57.086407375Z,21.5
2024-09-27T12:10:05.327116187Z,21.5
2024-09-27T12:10:15.323229813Z,21.5
2024-09-27T12:10:25.90499388Z,21.5
2024-09-27T12:10:37.566995381Z,21.4375
2024-09-27T12:10:45.961677095Z,21.4375
2024-09-27T12:10:55.95930454Z,21.4375
2024-09-27T12:11:07.580444995Z,25.4375
2024-09-27T12:11:15.948867657Z,27.3125
2024-09-27T12:11:28.56899519Z,28.25
2024-09-27T12:11:36.672902019Z,29
2024-09-27T12:11:46.874019316Z,29.375
2024-09-27T12:11:58.153125638Z,29.25
2024-09-27T12:12:11.100838691Z,28.8125
2024-09-27T12:12:20.718768092Z,28.4375
2024-09-27T12:12:31.967124145Z,28.125
2024-09-27T12:12:43.251468774Z,27.8125
2024-09-27T12:12:56.579105899Z,27.5625
2024-09-27T12:13:05.744119599Z,27.3125
2024-09-27T12:13:16.99192835Z,27.0625
2024-09-27T12:13:28.280018478Z,26.75
2024-09-27T12:13:38.702152891Z,26.5
2024-09-27T12:13:48.905296589Z,26.25
2024-09-27T12:13:59.139123597Z,26.125
2024-09-27T12:14:14.543197975Z,25.9375
2024-09-27T12:14:19.722247059Z,25.75
2024-09-27T12:14:30.195373435Z,25.5
2024-09-27T12:14:39.74807897Z,25.375
2024-09-27T12:14:49.70613551Z,25.1875
2024-09-27T12:15:00.951990251Z,25
2024-09-27T12:15:12.205232329Z,24.875
2024-09-27T12:15:23.445932343Z,24.6875
2024-09-27T12:15:34.716846067Z,24.625
2024-09-27T12:15:45.983598012Z,25.5
